Set,Species,Number,Mom,Neighbour,Tube,Indiv_ID,Flower_Count,Separate_Flr,Date_Collected,Diameter,Date_Measured,Measured_After_Collection,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Reproductive_Biomass_mg,Seed_Biomass_mg,Inflor_Height,Branch_Lengths,Vegetative_Biomass,Empty_Flrs,Buds,Notes
D,cal,1,1,2,1,Dcal112,2,no,5/1/18,NA,NA,NA,85,13,11,0,10.641,NA,,,0.007,0,0,may be fre or grac? Mom may be fre?
D,cal,1,1,3,1,Dcal113,2,no,5/1/18,NA,NA,NA,170,41,5,0,22.873,NA,,,0.028,0,0,may be fre or grac? Mom may be fre?
D,cal,1,1,4,1,Dcal114,0,no,5/1/18,NA,NA,NA,0,0,0,0,0.000,NA,,,NA,NA,NA,No Collection
D,cal,1,1,5,1,Dcal115,0,no,5/1/18,NA,NA,NA,0,0,0,0,0.000,NA,,,NA,NA,NA,No Collection
D,cal,1,2,1,1,Dcal121,7,no,5/1/18,NA,NA,NA,458,22,26,5,96.955,NA,,,0.079,0,0,
D,cal,1,2,2,1,Dcal122,2,no,5/1/18,NA,NA,NA,60,19,6,0,9.585,NA,,,0.013,0,0,
D,cal,1,2,3,1,Dcal123,5,no,5/1/18,NA,NA,NA,392,49,6,0,44.690,NA,,,0.045,0,0,
D,cal,1,2,4,1,Dcal124,7,no,5/1/18,NA,NA,NA,180,199,6,14,40.610,NA,,,0.035,0,0,
D,cal,1,2,5,1,Dcal125,2,no,5/1/18,NA,NA,NA,119,4,14,0,25.796,NA,,,0.031,0,0,
D,fre,1,1,1,1,Dfre111,1,no,4/29/18,NA,NA,NA,123,16,11,3,13.294,NA,,,0.025,0,0,
D,fre,1,1,2,1,Dfre112,3,no,4/29/18,NA,NA,NA,273,8,4,0,36.872,NA,,,0.045,0,0,
D,fre,1,1,3,1,Dfre113,2,no,4/29/18,NA,NA,NA,2,5,15,1,4.975,NA,,,0.015,0,0,
D,fre,1,1,4,1,Dfre114,3,no,4/29/18,NA,NA,NA,332,52,20,2,38.761,NA,,,0.051,0,0,
D,fre,1,1,5,1,Dfre115,3,no,4/29/18,NA,NA,NA,290,24,6,1,28.563,NA,,,0.048,0,0,
D,fre,1,2,1,1,Dfre121,3,no,4/29/18,NA,NA,NA,263,126,22,8,48.005,NA,,,0.052,0,0,
D,fre,1,2,2,1,Dfre122,1,no,4/29/18,1.5,4/30/18,yes,4,0,5,0,1.659,NA,,,need microbalance ,0,0,
D,fre,1,2,3,1,Dfre123,2,no,4/29/18,NA,NA,NA,6,9,6,0,4.498,NA,,,0.015,0,1,
D,fre,1,2,4,1,Dfre124,1,no,4/29/18,3.5,4/30/18,yes,36,2,7,1,3.693,NA,,,need microbalance ,0,0,
D,fre,1,2,5,1,Dfre125,3,no,4/29/18,NA,NA, ,383,106,29,5,58.826,NA,,,0.061,0,0,
D,gla,1,1,1,1,Dgla111,1,no,5/2/18,3,5/2/18,no,25,0,0,0,2.922,NA,,,0.012,0,0,
D,gla,1,1,2,1,Dgla112,5,no,5/2/18,NA,NA,NA,96,8,0,0,27.944,NA,,,0.053,1,0,
D,gla,1,1,3,1,Dgla113,2,no,5/2/18,NA,NA,NA,32,0,0,0,11.622,NA,,,0.035,1,0,
D,gla,1,1,4,1,Dgla114,1,yes,5/2/18,4,5/2/18,no,30,3,0,0,8.680,NA,,,0.027,0,0,
D,gla,1,1,4,2,Dgla114,2,yes,5/2/18,NA,NA,NA,40,20,0,0,9.525,NA,,,NA,0,0,
D,gla,1,1,5,1,Dgla115,4,no,5/2/18,NA,NA,NA,35,1,0,0,6.826,NA,,,0.017,0,0,
D,gla,1,2,1,1,Dgla121,1,yes,5/2/18,3.5,5/2/18,no,33,0,0,0,5.355,NA,,,0.036,0,0,
D,gla,1,2,1,2,Dgla121,3,yes,5/2/18,NA,NA,NA,1,0,0,0,4.619,NA,,,NA,2,1,
D,gla,1,2,2,1,Dgla122,1,yes,5/2/18,4,5/2/18,no,29,0,0,0,5.736,NA,,,0.028,1,0,
D,gla,1,2,2,2,Dgla122,2,yes,5/2/18,NA,NA,NA,55,1,0,0,8.318,NA,,,NA,0,0,
D,gla,1,2,3,1,Dgla123,2,no,5/2/18,3.5,5/2/18,no,12,1,0,0,5.204,NA,,,0.07,1,0,
D,gla,1,2,4,1,Dgla124,4,no,5/2/18,NA,NA,NA,65,10,0,0,17.247,NA,,,0.034,2,0,
